Year,San Antonio Spurs,Los Angeles Lakers,Philadelphia 76ers,Sacramento Kings,Dallas Mavericks,Utah Jazz,Milwaukee Bucks,Phoenix Suns,Miami Heat,Portland Trail Blazers,New York Knicks,Minnesota Timberwolves,Toronto Raptors,Charlotte Hornets,Houston Rockets,Oklahoma City Thunder,Orlando Magic,Indiana Pacers,Denver Nuggets,Boston Celtics,Detroit Pistons,LA Clippers,Cleveland Cavaliers,Brooklyn Nets,Atlanta Hawks,Memphis Grizzlies,Washington Wizards,Golden State Warriors,Chicago Bulls
1997,8413,9955,7651,7637,7494,10058,7748,8538,8224,8133,8395,8741,7781,8668,8522,9198,7387,9342,7300,7864,7721,7865,7908,8455,8210,7923,7969,7237,9887
1998,14556,15657,12848,13099,12075,15705,12618,13594,13068,13995,14415,13710,12338,13312,13621,13941,12205,15292,11974,12514,12635,12384,12230,13024,13242,12366,12529,11653,13982
1999,22769,26219,21561,22188,20391,24502,21398,22491,21639,23466,23321,22130,20557,21749,21777,22532,20411,25854,20089,20660,21357,19930,20180,21060,20977,20068,20450,19487,20934
2000,31845,36124,31448,31312,29552,32909,31380,30555,29163,31557,31041,30440,29670,30245,29749,30510,28814,33794,28007,28419,29194,27511,27741,28612,28436,27590,28095,27071,28115
2001,40688,46287,39354,41507,39053,41132,39376,38357,36313,39756,38555,38891,37583,38810,37321,38955,37429,42190,35566,37780,37759,35357,35553,38408,36147,34962,35704,35080,35450
2002,50819,55720,48400,51144,49579,49359,48121,46702,43329,48268,46415,47540,45036,47066,45009,46510,46120,50677,42467,46325,46780,43050,43048,48101,43861,42957,43206,43480,43236
2003,59213,65711,55615,60719,58703,56630,56588,54425,51824,55708,54293,56948,52042,55159,52794,54474,53831,59538,50892,54474,56171,50821,50667,56472,51472,51221,50737,51129,50591
2004,69330,73806,64197,69735,68475,64255,64561,65159,61621,63329,62270,64882,60220,62888,61273,63671,61991,68256,59504,63392,66082,58670,58581,64355,59077,59293,59982,59223,58951
2005,78507,82664,72344,78425,78899,71828,73069,76189,72026,70614,70112,72404,68507,70831,68660,72082,69775,76491,68168,71425,75673,67908,67758,73082,67049,67188,68928,67299,67561
2006,88499,91628,80129,86728,87691,81814,81241,86371,80140,78331,78106,80281,77209,78776,77224,80212,77898,84331,77248,79282,85007,75751,77468,82165,74729,75519,77850,77209,76585
2007,97918,102683,88567,95136,96395,91711,89197,95899,87631,86151,86054,88120,85921,88205,85683,88211,87436,92858,86728,89971,94553,83443,86540,90022,83393,83776,86507,86314,84566
2008,106328,113806,97085,103384,105754,100690,97339,104873,96309,94827,94681,96139,94042,96483,94942,96163,98049,101475,97010,99676,102592,91242,96129,98066,92363,91474,94384,95219,93702
2009,115601,124470,105099,111584,114675,110308,105978,115626,104661,103430,103054,104190,102576,104638,103337,105048,107827,109738,106395,110065,110301,99091,105604,105641,101685,99878,102276,104141,102180
2010,124669,133723,113651,119735,124958,118461,113512,124237,114978,111855,112151,112478,110700,112958,112022,115386,116494,118372,115693,118830,118252,107180,113431,113363,110510,109355,110253,112618,111747
2011,132938,141273,120945,126253,131653,125383,120047,130729,123717,118270,119023,118942,116686,118874,118496,124213,123128,125821,123242,126682,124249,114618,119571,119507,117378,116264,116433,119071,118612
2012,143493,149995,128585,134472,139946,133421,128496,138534,134387,126265,128282,126793,124657,126588,127784,133965,130846,135239,132564,134994,132027,123475,127484,128147,125946,125343,124077,128599,127356
2013,154578,158437,136740,142713,149251,141212,136325,147163,144712,136165,136366,135561,133635,134898,137285,144617,138760,144912,141123,142886,140313,133739,135538,137372,134875,133904,133325,137893,135486
2014,163763,166510,144282,151023,158429,149013,144879,155560,152476,145063,143901,143577,142547,142619,147646,153141,146607,152893,149443,151577,148390,143999,145975,145988,144852,143008,142416,149078,144903
2015,173273,174492,152270,159763,167286,157023,153001,163831,162036,154840,151966,151975,152837,151730,156839,164094,154976,161926,157798,160809,157131,153158,156730,154077,154286,151458,150950,161084,153238
2016,183623,183067,160670,168193,175315,166357,162057,172662,170496,164097,160522,160632,162566,160331,167482,173356,163264,170979,166959,171560,165440,162753,167870,162750,163378,160275,161308,172615,162252
2017,192531,191929,170762,176297,183705,176023,171501,181184,179493,173180,169088,170120,172795,169205,178479,182807,171743,180339,175979,182015,173949,171690,179186,171491,171853,168420,170693,184238,170692
2018,202410,201094,181511,185660,192632,185673,182879,189999,188161,184337,177663,179343,184737,178286,189014,192720,181003,189563,186582,192150,183119,181820,187753,181252,181147,176910,180043,196399,179297
2019,210508,211517,189997,193587,202110,194480,192653,198293,198650,193378,184646,186591,194058,184973,198788,201398,189369,197955,196747,202192,190197,191679,194701,189723,188635,185132,188281,203311,186242
2020,218506,219989,199168,201776,210948,203814,202055,207578,206823,202455,192837,194664,202069,192854,206621,208958,196857,206257,206061,210862,197873,201018,202177,199200,197682,193864,197229,211498,194211
